             f                  xj                  yj                  zj               Zxx_real            Zxx_imag            Error              Zxy_real            Zxy_imag              Error              Zyx_real            Zyx_imag             Error              Zyy_real            Zyy_imag             Error
    1.0000000000E+01    1.7500000000E+04   -2.1875000000E+04    0.0000000000E+00    2.0212821327E-03    1.0423301450E-03    2.8385948894E-03    6.1504860834E-02   -7.0071277364E-02    2.8385948894E-03   -6.4370998984E-02    7.1305696432E-02    2.8385948894E-03   -9.7602400894E-05    2.8811955554E-03    2.8385948894E-03
    1.0000000000E+01    2.1875000000E+04   -2.1875000000E+04    0.0000000000E+00    3.7826277160E-03   -2.1530518505E-03    2.8385950276E-03    6.4991573335E-02   -7.1838908273E-02    2.8385950276E-03   -6.3481253115E-02    7.5867439291E-02    2.8385950276E-03    2.3207776861E-03   -1.3888417519E-04    2.8385950276E-03
    1.0000000000E+01    2.6250000000E+04   -2.1875000000E+04    0.0000000000E+00    5.6269977728E-04   -1.7089539024E-03    2.8385950887E-03    6.1821061392E-02   -7.4581536037E-02    2.8385950887E-03   -6.2802022462E-02    7.1210002285E-02    2.8385950887E-03   -5.4135834915E-04    2.2908813324E-04    2.8385950887E-03
    1.0000000000E+01    3.0625000000E+04   -2.1875000000E+04    0.0000000000E+00   -3.0469642972E-03   -1.3325450560E-03    2.8385951206E-03    6.0458242206E-02   -7.2685472165E-02    2.8385951206E-03   -6.5760988797E-02    7.2476103682E-02    2.8385951206E-03    3.1193924899E-03    6.0434837488E-03    2.8385951206E-03
    1.0000000000E+01    3.5000000000E+04   -2.1875000000E+04    0.0000000000E+00    3.7956010369E-04    4.2520919398E-04    2.8385951390E-03    6.2537319336E-02   -7.1993125999E-02    2.8385951390E-03   -6.2150930085E-02    7.0080995230E-02    2.8385951390E-03    2.9389111778E-03    3.7083048045E-03    2.8385951390E-03
    1.0000000000E+01   -3.5000000000E+04   -1.7500000000E+04    0.0000000000E+00   -3.5045177376E-03   -7.7357821896E-05    2.8385944429E-03    5.9583540193E-02   -7.1529844586E-02    2.8385944429E-03   -6.0458357001E-02    7.5014512714E-02    2.8385944429E-03   -4.9654375421E-04    1.2037411771E-03    2.8385944429E-03
    1.0000000000E+01   -3.0625000000E+04   -1.7500000000E+04    0.0000000000E+00    9.2418171675E-04    1.5711746651E-05    2.8385920658E-03    6.3446542237E-02   -7.0443642396E-02    2.8385920658E-03   -6.0252544524E-02    7.0332690955E-02    2.8385920658E-03   -2.4442140541E-03    1.1656394903E-03    2.8385920658E-03
    1.0000000000E+01   -2.6250000000E+04   -1.7500000000E+04    0.0000000000E+00    3.8274665451E-04   -3.6379292991E-04    2.8386227084E-03    6.5364276267E-02   -7.0850572305E-02    2.8386227084E-03   -6.2704307341E-02    7.2254689471E-02    2.8386227084E-03    1.5889184085E-03   -2.2750831248E-03    2.8386227084E-03
    1.0000000000E+01   -2.1875000000E+04   -1.7500000000E+04    0.0000000000E+00   -2.2519517498E-03   -2.7563295915E-03    2.8373531629E-03    6.2818591334E-02   -6.9801760798E-02    2.8373531629E-03   -6.3987350127E-02    6.9033370662E-02    2.8373531629E-03    3.3954671490E-03   -1.1982637736E-03    2.8373531629E-03
    1.0000000000E+01   -1.7500000000E+04   -1.7500000000E+04    0.0000000000E+00    4.1368212222E-05   -2.5760932229E-03    2.8615220339E-03    6.4975368290E-02   -7.1764365263E-02    2.8615220339E-03   -6.5006917274E-02    7.1331213344E-02    2.8615220339E-03   -3.1406224091E-03   -2.0706700142E-03    2.8615220339E-03
    1.0000000000E+01   -1.3125000000E+04   -1.7500000000E+04    0.0000000000E+00   -8.0501508028E-04   -1.6518359374E-03    2.9263209830E-03    6.4448510565E-02   -7.4830347265E-02    2.9263209830E-03   -6.6906789010E-02    7.3889591871E-02    2.9263209830E-03   -5.5711110381E-04   -3.1531641833E-03    2.9263209830E-03
    1.0000000000E+01   -8.7500000000E+03   -1.7500000000E+04    0.0000000000E+00   -4.2368577779E-03   -1.5431368943E-03    2.8739721654E-03    6.4266286387E-02   -7.4059849081E-02    2.8739721654E-03   -6.0758038605E-02    7.3629631283E-02    2.8739721654E-03    3.9695908146E-04   -5.9345977702E-04    2.8739721654E-03
    1.0000000000E+01   -4.3750000000E+03   -1.7500000000E+04    0.0000000000E+00    8.0807147415E-04    6.6074167481E-04    2.8362076919E-03    6.5399662452E-02   -7.0661448895E-02    2.8362076919E-03   -6.3533287158E-02    7.1342961055E-02    2.8362076919E-03   -7.0300313513E-04    1.2004965331E-04    2.8362076919E-03
    1.0000000000E+01    0.0000000000E+00   -1.7500000000E+04    0.0000000000E+00    1.0096896198E-03   -1.2458425773E-03    2.8383346683E-03    6.4009404356E-02   -7.2943171840E-02    2.8383346683E-03   -6.1523682417E-02    7.3278353400E-02    2.8383346683E-03   -1.3200739246E-04   -3.3956322388E-03    2.8383346683E-03
    1.0000000000E+01    4.3750000000E+03   -1.7500000000E+04    0.0000000000E+00    1.7090564998E-03    1.1542914850E-03    2.8386222628E-03    6.6516894521E-02   -7.6149004616E-02    2.8386222628E-03   -6.1428773360E-02    7.0695166542E-02    2.8386222628E-03   -2.6384914631E-03   -3.3780840706E-03    2.8386222628E-03
